Description	Resource	Path	Location	Type
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14938 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14991 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14997 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15003 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15009 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15041 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15197 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15269 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15759 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14302 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14856 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14951 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14973 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12670 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15147 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13091 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13104 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13117 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13123 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13153 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13652 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemCall is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15097 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SuspendThread is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9739 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SuspendProcess is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9734 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Subroutine is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 6653 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Subroutine is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12301 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Storage is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15512 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:StackFrame is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14258 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SSHSession is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15468 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Software is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14201 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Software is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14207 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
